"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2014-04-16","Dallas Stars","3","Anaheim Ducks","4","","","",""
"2","2014-04-16","Columbus Blue Jackets","3","Pittsburgh Penguins","4","","","",""
"3","2014-04-16","Montreal Canadiens","5","Tampa Bay Lightning","4","OT","","",""
"4","2014-04-17","Minnesota Wild","4","Colorado Avalanche","5","OT","","",""
"5","2014-04-17","Philadelphia Flyers","1","New York Rangers","4","","","",""
"6","2014-04-17","Los Angeles Kings","3","San Jose Sharks","6","","","",""
"7","2014-04-17","Chicago Blackhawks","3","St. Louis Blues","4","3OT","","",""
"8","2014-04-18","Dallas Stars","2","Anaheim Ducks","3","","","",""
"9","2014-04-18","Detroit Red Wings","1","Boston Bruins","0","","","",""
"10","2014-04-18","Montreal Canadiens","4","Tampa Bay Lightning","1","","","",""
"11","2014-04-19","Minnesota Wild","2","Colorado Avalanche","4","","","",""
"12","2014-04-19","Columbus Blue Jackets","4","Pittsburgh Penguins","3","2OT","","",""
"13","2014-04-19","Chicago Blackhawks","3","St. Louis Blues","4","OT","","",""
"14","2014-04-20","Detroit Red Wings","1","Boston Bruins","4","","","",""
"15","2014-04-20","Tampa Bay Lightning","2","Montreal Canadiens","3","","","",""
"16","2014-04-20","Philadelphia Flyers","4","New York Rangers","2","","","",""
"17","2014-04-20","Los Angeles Kings","2","San Jose Sharks","7","","","",""
"18","2014-04-21","Pittsburgh Penguins","4","Columbus Blue Jackets","3","","","",""
"19","2014-04-21","St. Louis Blues","0","Chicago Blackhawks","2","","","",""
"20","2014-04-21","Anaheim Ducks","0","Dallas Stars","3","","","",""
"21","2014-04-21","Colorado Avalanche","0","Minnesota Wild","1","OT","","",""
"22","2014-04-22","Boston Bruins","3","Detroit Red Wings","0","","","",""
"23","2014-04-22","San Jose Sharks","4","Los Angeles Kings","3","OT","","",""
"24","2014-04-22","Tampa Bay Lightning","3","Montreal Canadiens","4","","","",""
"25","2014-04-22","New York Rangers","4","Philadelphia Flyers","1","","","",""
"26","2014-04-23","Pittsburgh Penguins","3","Columbus Blue Jackets","4","OT","","",""
"27","2014-04-23","St. Louis Blues","3","Chicago Blackhawks","4","OT","","",""
"28","2014-04-23","Anaheim Ducks","2","Dallas Stars","4","","","",""
"29","2014-04-24","Boston Bruins","3","Detroit Red Wings","2","OT","","",""
"30","2014-04-24","San Jose Sharks","3","Los Angeles Kings","6","","","",""
"31","2014-04-24","Colorado Avalanche","1","Minnesota Wild","2","","","",""
"32","2014-04-25","Dallas Stars","2","Anaheim Ducks","6","","","",""
"33","2014-04-25","New York Rangers","1","Philadelphia Flyers","2","","","",""
"34","2014-04-25","Chicago Blackhawks","3","St. Louis Blues","2","OT","","",""
"35","2014-04-26","Detroit Red Wings","2","Boston Bruins","4","","","",""
"36","2014-04-26","Minnesota Wild","3","Colorado Avalanche","4","OT","","",""
"37","2014-04-26","Columbus Blue Jackets","1","Pittsburgh Penguins","3","","","",""
"38","2014-04-26","Los Angeles Kings","3","San Jose Sharks","0","","","",""
"39","2014-04-27","St. Louis Blues","1","Chicago Blackhawks","5","","","",""
"40","2014-04-27","Anaheim Ducks","5","Dallas Stars","4","OT","","",""
"41","2014-04-27","Philadelphia Flyers","2","New York Rangers","4","","","",""
"42","2014-04-28","Pittsburgh Penguins","4","Columbus Blue Jackets","3","","","",""
"43","2014-04-28","San Jose Sharks","1","Los Angeles Kings","4","","","",""
"44","2014-04-28","Colorado Avalanche","2","Minnesota Wild","5","","","",""
"45","2014-04-29","New York Rangers","2","Philadelphia Flyers","5","","","",""
"46","2014-04-30","Minnesota Wild","5","Colorado Avalanche","4","OT","","",""
"47","2014-04-30","Philadelphia Flyers","1","New York Rangers","2","","","",""
"48","2014-04-30","Los Angeles Kings","5","San Jose Sharks","1","","","",""
"49","2014-05-01","Montreal Canadiens","4","Boston Bruins","3","2OT","","",""
"50","2014-05-02","Minnesota Wild","2","Chicago Blackhawks","5","","","",""
"51","2014-05-02","New York Rangers","3","Pittsburgh Penguins","2","OT","","",""
"52","2014-05-03","Los Angeles Kings","3","Anaheim Ducks","2","OT","","",""
