,Date,Visitor,G,Home,G,,Att.,LOG,Notes
1,2015-10-07,Vancouver Canucks,5,Calgary Flames,1,,"19,289",02:32,
2,2015-10-07,New York Rangers,3,Chicago Blackhawks,2,,"22,104",02:28,
3,2015-10-07,San Jose Sharks,5,Los Angeles Kings,1,,"18,230",02:40,
4,2015-10-07,Montreal Canadiens,3,Toronto Maple Leafs,1,,"19,241",02:36,
5,2015-10-08,Winnipeg Jets,6,Boston Bruins,2,,"17,565",02:26,
6,2015-10-08,Ottawa Senators,3,Buffalo Sabres,1,,"19,070",02:37,
7,2015-10-08,Minnesota Wild,5,Colorado Avalanche,4,,"18,007",02:36,
8,2015-10-08,Pittsburgh Penguins,0,Dallas Stars,3,,"18,532",02:41,
9,2015-10-08,Carolina Hurricanes,1,Nashville Predators,2,,"17,204",02:25,
10,2015-10-08,Edmonton Oilers,1,St. Louis Blues,3,,"19,327",02:25,
11,2015-10-08,Philadelphia Flyers,2,Tampa Bay Lightning,3,OT,"19,092",02:34,
12,2015-10-09,New York Rangers,4,Columbus Blue Jackets,2,,"19,027",02:31,
13,2015-10-09,Toronto Maple Leafs,0,Detroit Red Wings,4,,"20,027",02:33,
14,2015-10-09,Arizona Coyotes,4,Los Angeles Kings,1,,"18,230",02:27,
15,2015-10-09,Winnipeg Jets,3,New Jersey Devils,1,,"14,579",02:26,
16,2015-10-09,Chicago Blackhawks,3,New York Islanders,2,OT,"15,795",02:37,
17,2015-10-10,Pittsburgh Penguins,1,Arizona Coyotes,2,,"17,125",02:30,
18,2015-10-10,Montreal Canadiens,4,Boston Bruins,2,,"17,565",02:50,
19,2015-10-10,Tampa Bay Lightning,4,Buffalo Sabres,1,,"17,739",02:27,
20,2015-10-10,Detroit Red Wings,4,Carolina Hurricanes,3,,"18,949",02:29,
21,2015-10-10,New York Islanders,1,Chicago Blackhawks,4,,"21,392",02:23,
22,2015-10-10,Dallas Stars,3,Colorado Avalanche,6,,"16,024",02:31,
23,2015-10-10,Philadelphia Flyers,1,Florida Panthers,7,,"19,434",02:37,
24,2015-10-10,St. Louis Blues,2,Minnesota Wild,3,,"19,096",02:27,
25,2015-10-10,Edmonton Oilers,0,Nashville Predators,2,,"17,113",02:32,
26,2015-10-10,Columbus Blue Jackets,2,New York Rangers,5,,"18,006",02:33,
27,2015-10-10,Anaheim Ducks,0,San Jose Sharks,2,,"17,562",02:25,
28,2015-10-10,Ottawa Senators,5,Toronto Maple Leafs,4,SO,"19,187",02:53,
29,2015-10-10,Calgary Flames,3,Vancouver Canucks,2,OT,"18,570",02:36,
30,2015-10-10,New Jersey Devils,3,Washington Capitals,5,,"18,506",02:35,
31,2015-10-11,Montreal Canadiens,3,Ottawa Senators,1,,"19,177",02:40,
32,2015-10-12,Vancouver Canucks,2,Anaheim Ducks,1,SO,"17,174",02:25,
33,2015-10-12,Tampa Bay Lightning,6,Boston Bruins,3,,"17,565",02:30,
34,2015-10-12,Columbus Blue Jackets,2,Buffalo Sabres,4,,"18,075",02:27,
35,2015-10-12,Winnipeg Jets,2,New York Islanders,4,,"11,183",02:37,
36,2015-10-12,Florida Panthers,0,Philadelphia Flyers,1,,"19,769",02:29,
37,2015-10-13,Florida Panthers,4,Carolina Hurricanes,1,,"10,901",02:14,
38,2015-10-13,St. Louis Blues,4,Calgary Flames,3,,"18,632",02:23,
39,2015-10-13,Edmonton Oilers,2,Dallas Stars,4,,"16,265",02:30,
40,2015-10-13,Tampa Bay Lightning,1,Detroit Red Wings,3,,"20,027",02:27,
41,2015-10-13,Vancouver Canucks,3,Los Angeles Kings,0,,"18,230",02:23,
42,2015-10-13,Nashville Predators,3,New Jersey Devils,1,,"11,117",02:27,
43,2015-10-13,Winnipeg Jets,4,New York Rangers,1,,"18,006",02:23,
44,2015-10-13,Montreal Canadiens,3,Pittsburgh Penguins,2,,"18,626",02:23,
45,2015-10-13,San Jose Sharks,5,Washington Capitals,0,,"18,506",02:33,
46,2015-10-14,Arizona Coyotes,4,Anaheim Ducks,0,,"15,172",02:33,
47,2015-10-14,Ottawa Senators,7,Columbus Blue Jackets,3,,"13,803",02:31,
48,2015-10-14,Boston Bruins,6,Colorado Avalanche,2,,"15,082",02:17,
49,2015-10-14,Chicago Blackhawks,0,Philadelphia Flyers,3,,"19,779",02:25,
50,2015-10-15,Minnesota Wild,4,Arizona Coyotes,3,,"12,029",02:44,
51,2015-10-15,St. Louis Blues,4,Edmonton Oilers,2,,"16,839",02:27,
52,2015-10-15,Buffalo Sabres,2,Florida Panthers,3,,"11,616",02:36,
53,2015-10-15,New York Rangers,0,Montreal Canadiens,3,,"21,288",02:37,
54,2015-10-15,Nashville Predators,3,New York Islanders,4,,"10,542",02:32,
55,2015-10-15,Ottawa Senators,0,Pittsburgh Penguins,2,,"18,486",02:29,
56,2015-10-15,Dallas Stars,5,Tampa Bay Lightning,3,,"19,092",02:31,
57,2015-10-15,Chicago Blackhawks,1,Washington Capitals,4,,"18,506",02:17,
58,2015-10-16,Colorado Avalanche,3,Anaheim Ducks,0,,"17,174",02:29,
59,2015-10-16,Toronto Maple Leafs,6,Columbus Blue Jackets,3,,"13,885",02:37,
60,2015-10-16,Carolina Hurricanes,5,Detroit Red Wings,3,,"20,027",02:22,
61,2015-10-16,Minnesota Wild,1,Los Angeles Kings,2,OT,"18,230",02:34,
