Name,Number,Street,City
Prime Minister's Residence,24,Sussex Dr.,Ottawa
Billings Estate National Historic Site,2100,Cabot St.,Ottawa
Britannia Yacht Club,2777,Cassels St.,Ottawa
Bytown Museum,1,Canal Lane,Ottawa
Byward Market,55,Byward Market Square,Ottawa
Cameron Highlanders of Ottawa Museum,2,Queen Elizabeth Dr.,Ottawa
Canada Agriculture Museum,901,Prince of Wales Dr.,Ottawa
Canada Aviation and Space Museum,11,Aviation Parkway,Ottawa
Canada Science and Technology Museum,2421,Lancaster Rd.,Ottawa
Canadian Golf and Country Club,7800,Golf Club Way,Ashton
Canadian Museum of History,100,Laurier St.,Gatineau
Canadian Museum of Nature,240,McLeod St.,Ottawa
Canadian War Museum,1,Vimy Place,Ottawa
Currency Museum,30,Bank St.,Ottawa
Diefenbunker,3929,Carp Rd.,Carp
Dominion Arboretum,74,National Capital Commission Senic Driveway,Ottawa
Dow's Lake,1001,Queen Elizabeth Dr.,Ottawa
Governor General's Foot Guards Regimental Museum,2,Queen Elizabeth Dr.,Ottawa
Lansdowne Park,450,Queen Elizabeth Dr.,Ottawa
Laurier House,335,Laurier Ave. East,Ottawa
Library and Archives Canada,395,Wellington St.,Ottawa
Muséoparc Vanier Museopark,300,Peres-Blancs Ave.,Vanier
National Arts Centre,1,Elgin St.,Ottawa
National Gallery of Canada,380,Sussex Dr.,Ottawa
National War Memorial,2,Elgin St.,Ottawa
Nepean Museum,16,Rowley Ave,Ottawa
Nepean Sailing Club,3259,Carling Ave,Nepean
Ottawa Art Gallery,2,Daly Ave.,Ottawa
Ottawa Hunt and Golf Club,1,Hunt Club Road,Ottawa
Parliament Hill,2,Wellington St.,Ottawa
Peacekeeping Monument,424,Sussex Dr.,Ottawa
Pinhey's Point Historic Site,270,Pinhey Point Rd.,Dunrobin
Hog's Back Falls,600,Hog's Back Rd.,Ottawa
Rideau Hall,1,Sussex Dr.,Ottawa
Royal Canadian Mint,320,Sussex Dr.,Ottawa
Royal Canadian Navy Monument,555,Wellington St.,Ottawa
Supreme Court of Canada,301,Wellington St.,Ottawa
Watson's Mill,5525,Dickinson St.,Manotick
Workers’ History Museum,251,Bank St.,Ottawa
Canadian Children's Museum,100,Laurier St.,Gatineau
ASP Gallery,35,Stafford Rd.,Bells Corners
Atrium Art Gallery - Centerpointe,101,Centerpointe Dr.,Ottawa
Ottawa City Hall,110,Laurier Ave. West,Ottawa
Gallery112,100,Tallwood Dr.,Ottawa
Shenkman Arts Centre,245,Centrum Blvd,Ottawa
Chateau Laurier,1,Wellington St.,Ottawa
Gatineau Park,33,Scott Rd.,Old Chelsea
Mackenzie-King Estate,75,Chemin Barnes,Chelsea
