					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
4	D	CAM FOWLER	ana	70	1145	1.8	1.8	0.7	1.7	-2.2	2.0		56	0.5	0.5	0.1	0.0	-0.5	0.1		220	23.1	1.8	-0.3	-0.6	0.5	1.4		191	-18.3	0.1	1.3	0.9	-2.3	0.1		
5	D	LUCA SBISA	ana	30	458	-2.0	-2.0	0.0	-0.7	-0.7	-3.4		13	0.5	0.5	0.0	0.1	-0.2	0.4		6	0.1	-0.5	0.2	-0.1	0.1	-0.3		30	-2.2	0.7	0.0	-0.1	-0.4	0.3		
6	D	BEN LOVEJOY	ana	78	1256	1.6	1.6	1.2	1.5	-2.4	1.9		60	-0.1	-0.1	0.1	0.1	-0.7	-0.7		9	0.6	-0.3	0.2	-0.1	0.1	-0.0		147	-11.6	2.7	0.2	0.1	-1.6	1.3		
7	C	ANDREW COGLIANO	ana	82	1037	-4.0	-4.0	0.7	0.7	-0.1	-2.7		38	0.6	0.6	-0.1	0.1	-0.5	0.1		12	0.5	-0.7	0.4	-0.1	0.2	-0.3		114	-9.1	1.9	-1.1	0.1	-1.1	-0.2		
8	R	TEEMU SELANNE	ana	64	732	4.4	4.4	-0.8	-1.1	-0.8	1.7		2	0.0	0.0	-0.0	0.0	-0.0	-0.0		149	14.2	-0.2	-0.4	-0.1	0.8	0.0		0	-0.2	-0.1	-0.1	0.0	-0.0	-0.2		
10	R	COREY PERRY	ana	81	1165	14.3	14.3	0.3	2.1	-4.6	12.0		47	-0.3	-0.3	0.0	0.4	-0.5	-0.4		269	26.6	0.8	-0.5	-0.5	0.4	0.2		42	-3.4	0.6	-0.4	-0.1	-0.6	-0.5		
11	C	SAKU KOIVU	ana	65	778	-6.4	-6.4	1.1	0.9	-0.3	-4.6		31	0.1	0.1	0.1	0.0	-0.4	-0.1		36	1.7	-1.8	0.2	0.0	0.3	-1.3		100	-10.6	-1.0	0.0	0.5	-1.2	-1.6		
13	C	NICK BONINO	ana	77	858	0.8	0.8	0.1	-1.5	-0.8	-1.3		35	0.9	0.9	0.1	-0.1	-0.5	0.4		204	21.5	1.9	0.2	-0.4	0.5	2.1		129	-8.8	3.6	1.1	0.4	-1.6	3.5		
15	C	RYAN GETZLAF	ana	77	1103	8.7	8.7	0.7	1.9	-5.3	6.1		48	-0.2	-0.2	0.1	0.3	-0.5	-0.3		265	25.3	-0.1	-0.7	-0.4	0.3	-1.0		158	-13.7	1.5	1.5	0.9	-1.9	1.9		
17	R	DUSTIN PENNER	ana	49	632	8.4	8.4	0.4	1.1	-3.0	6.9		3	0.1	0.1	0.0	-0.0	-0.0	0.1		103	11.1	1.1	-0.0	-0.4	0.2	0.9		0	0.3	0.3	-0.0	-0.0	-0.0	0.3		
18	R	TIM JACKMAN	ana	26	193	0.0	0.0	-0.8	-0.5	-0.3	-1.6		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.1	0.0	0.0	0.0	-0.1		0	-0.2	-0.1	0.0	0.0	-0.0	-0.1		
19	D	STEPHANE ROBIDAS	ana	14	233	-0.6	-0.6	-0.1	-0.2	-0.3	-1.2		8	0.5	0.5	-0.0	0.1	-0.2	0.4		12	0.9	-0.3	0.0	0.1	0.1	-0.0		26	-1.8	0.7	0.0	0.3	-0.4	0.7		
20	C	DAVID STECKEL	ana	6	57	2.1	2.1	-0.2	0.1	-0.0	1.9		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.1	-0.0	0.0	0.0	-0.1		4	-0.5	-0.0	-0.0	-0.1	-0.1	-0.2		
21	C	KYLE PALMIERI	ana	71	750	-0.8	-0.8	-0.2	-0.8	-0.9	-2.6		11	0.3	0.3	0.0	0.2	-0.2	0.3		90	6.9	-1.9	-0.1	-0.1	0.5	-1.5		0	0.0	0.0	-0.0	0.0	-0.0	0.0		
22	C	MATHIEU PERREAULT	ana	69	784	1.0	1.0	-0.6	-1.4	-0.9	-1.9		21	1.5	1.5	-0.0	0.1	-0.4	1.1		140	12.0	-1.6	-0.5	-0.1	0.7	-1.5		1	-0.1	0.1	-0.3	-0.0	-0.0	-0.3		
23	D	FRANCOIS BEAUCHEMIN	ana	70	1186	2.6	2.6	-0.1	-0.3	-2.8	-0.7		52	2.3	2.3	-0.0	0.1	-0.6	1.8		113	8.5	-2.4	0.8	-0.4	0.7	-1.3		215	-19.9	0.8	0.5	0.8	-2.8	-0.7		
28	D	MARK FISTRIC	ana	34	466	-0.4	-0.4	-0.0	0.0	-0.8	-1.1		2	-0.0	-0.0	-0.1	0.0	-0.0	-0.1		1	0.0	-0.1	0.1	-0.0	0.0	0.0		53	-3.4	1.8	-0.1	0.1	-0.6	1.1		
33	R	JAKOB SILFVERBERG	ana	52	588	0.2	0.2	0.2	-0.1	-0.5	-0.3		19	0.5	0.5	-0.1	0.0	-0.4	0.1		64	5.6	-0.5	0.4	-0.4	0.4	-0.2		51	-1.8	3.2	-0.4	-0.1	-0.7	2.1		
34	C	DANIEL WINNIK	ana	76	937	-3.0	-3.0	0.7	0.6	-0.1	-1.7		12	-0.6	-0.6	0.0	0.1	-0.1	-0.6		7	0.0	-0.7	0.4	-0.2	0.1	-0.4		185	-17.8	0.1	1.4	1.3	-2.3	0.5		
39	L	MATT BELESKEY	ana	55	587	-0.2	-0.2	-0.3	-0.5	-1.1	-2.2		4	0.2	0.2	-0.0	-0.2	-0.1	0.0		66	4.8	-1.6	0.1	0.2	0.3	-1.0		24	-1.6	0.8	-0.3	-0.3	-0.4	-0.2		
40	D	NOLAN YONKMAN	ana	2	29	0.0	0.0	-0.1	-0.1	-0.0	-0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
45	D	SAMI VATANEN	ana	48	703	2.7	2.7	-0.6	-1.9	-1.0	-0.9		12	-0.1	-0.1	0.0	0.1	-0.2	-0.2		107	10.7	0.3	-0.1	-0.2	0.5	0.5		7	-0.7	0.1	-0.1	0.1	-0.1	-0.1		
47	D	HAMPUS LINDHOLM	ana	78	1252	9.8	9.8	-0.9	-0.3	-2.2	6.3		59	0.4	0.4	0.0	0.2	-1.0	-0.3		152	14.3	-0.3	-0.1	-0.3	1.1	0.4		30	-1.8	1.1	-0.4	-0.1	-0.3	0.3		
51	D	ALEX GRANT	ana	2	26	0.6	0.6	-0.1	0.1	-0.1	0.4		0	0.0	-0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	-0.0	0.0	0.0		
55	D	BRYAN ALLEN	ana	68	1036	-0.1	-0.1	0.5	-0.7	-1.5	-1.8		15	-0.1	-0.1	0.1	0.1	-0.2	-0.1		4	0.2	-0.3	0.2	-0.0	0.0	-0.1		144	-12.0	1.9	-0.3	0.4	-1.7	0.2		
62	L	PATRICK MAROON	ana	62	648	3.4	3.4	-0.6	-0.8	-1.1	0.9		0	-0.0	-0.0	0.0	0.0	-0.0	-0.1		100	9.4	-0.2	0.2	-0.0	0.6	0.5		0	0.0	0.0	-0.1	0.0	-0.0	-0.0		
